,Product_ID,Review_ID,Sentence_ID,Sentence,Clean_Sentences,Frequent_Features,Opinion Words,Infrequent_Features,Ground_Truth_Scores
18,1.0,3.0,19.0,"As a loyal customer of Norton/Symantec products, I purchased Internet Security 2004 as a software firewall and could not be any more dissatisfied with the product (and hence the one star rating).",loyal custom norton symantec product purchas internet secur softwar firewal not_b ani dissatisfi product henc star rate,"['norton internet security', 'security software', 'norton security', 'norton product', 'software internet', 'internet security', 'norton internet', 'firewall security', 'firewall internet', 'symantec', 'stars', 'software', 'security', 'product', 'norton', 'internet', 'firewall', 'customer']","{'loyal', 'dissatisfied'}","['symantec products', 'dissatisfied rating', 'norton products']","(-3,)"
19,1.0,3.0,20.0,Here's why:,whi,[],set(),[],"(0,)"
20,1.0,4.0,21.0,Yeah - this program protects your computer all right - by locking you off the internet.,yeah program protect comput right lock internet,"['internet program', 'computer program', 'program', 'internet', 'computer']",set(),[],"(-3,)"
21,1.0,4.0,22.0,Anti-Spam is Good,anti spam good,[],set(),[],"(0,)"
22,1.0,4.0,23.0,The latest of Internet Security has antispam function that is helpful because I has received a mountain of those these days.,latest internet secur antispam function help becaus receiv mountain day,"['internet security', 'security', 'internet', 'help', 'antispam']","{'helpful', 'latest'}","['helpful function', 'latest function']","(0,)"
23,1.0,4.0,24.0,Other than that it is all the same except the new updates.,new updat,['updates'],set(),[],"(-2,)"
24,1.0,4.0,25.0,But that is good for me because Symantec softwares are a bit hard to master for me who are not savvy on computers.,good becaus symantec softwar bit hard master not_savvi comput,"['software computer', 'symantec', 'software', 'computer']","{'good', 'hard'}",['symantec softwares'],"(2,)"
25,1.0,4.0,26.0,So far I haven't had so much complaints except that I still haven't mastered how to scandisk when using Internet Security.,far not_had complaint not_mast scandisk use internet secur,"['internet security', 'security', 'internet']",set(),[],"(-1,)"
26,1.0,5.0,27.0,Too bad the product is cumbersome and intertwined trying to do so much at one time.,bad product cumbersom intertwin tri time,"['time', 'product']","{'cumbersome', 'bad'}",[],"(-2,)"
27,1.0,5.0,28.0,Sometimes a suite is not a good deal and all you get is a bundle of headaches.,sometim suit not_a good deal bundl headach,[],set(),[],"(-2,)"
28,1.0,6.0,29.0,"I'm not sure why all the bad reviews, my computer isn't especially slowed down and I have Win'98.",m not_sur whi bad review comput not_especi slow win'98,"['reviews', 'computer']",set(),[],"(1,)"
29,1.0,6.0,30.0,"Sure, it slows it down a little, but that's expected.",sure slow littl expect,[],set(),[],"(1,)"
30,1.0,6.0,31.0,"Perhaps Semantic could work out the efficiency a little, but these reviews are highly exagerated... I would ask what else these people are running on their computers(?)",perhap semant work effici littl review high exager ask els peopl run comput,"['work', 'reviews', 'people', 'computer']","{'little', 'semantic'}",['semantic efficiency'],"(1,)"
31,1.0,6.0,32.0,I would ask what else these people are running on their computers(?),ask els peopl run comput,"['people', 'computer']",set(),[],"(0,)"
32,1.0,6.0,33.0,"So, if you have a fairly fast computer (1 gig or better) with plenty of ram (512) and your not gaming online or running streaming video continually, you should be fine.",fair fast comput gig better plenti ram not_gam onlin run stream video continu fine,['computer'],set(),[],"(0,)"
33,1.0,6.0,34.0,"This is pretty standard for an up to date computer anymore, so what's the fuss?",pretti standard date comput anymor fuss,['computer'],set(),[],"(0,)"
34,1.0,7.0,35.0,I've been using Norton Anti-Virus in its many incarnations for over 5 years.,ve use norton anti virus mani incarn year,"['virus', 'norton']",set(),[],"(0,)"
35,1.0,7.0,36.0,Norton Internet Security 2004 is one of the more buggy implementations.,norton internet secur buggi implement,"['norton internet security', 'norton security', 'internet security', 'norton internet', 'security', 'norton', 'internet']",set(),[],"(-2,)"
36,1.0,7.0,37.0,Even for computer super-heros it's a pain to maintain when there is a problem.,comput super hero pain maintain problem,"['problems computer', 'problems', 'computer']",{'super'},['super pain'],"(0,)"
37,1.0,8.0,38.0,I also reviewed Norton System Works 2004/Professional.,review norton system work profession,"['work', 'system', 'reviews', 'norton']",{'professional'},['norton system'],"(0,)"
38,1.0,8.0,39.0,This product has virtually all the same installation problems.,product virtual instal problem,"['installation problems', 'product', 'problems', 'installation']",set(),[],"(-2,)"
39,1.0,8.0,40.0,"For purposes of clarity, here is my review from that product,edited to be appropriate for this product, since, for the most part, they share many of the same problems.",purpos clariti review product edit appropri product sinc share mani problem,"['reviews', 'product', 'problems', 'edition']",{'appropriate'},['appropriate problems'],"(-1,)"
40,1.0,8.0,41.0,"Something happened with this release for Norton System Works (2004) and for ""Internet Security 2004"".",someth happen releas norton system work internet secur,"['norton internet security', 'security system', 'norton security', 'internet security', 'norton internet', 'work', 'system', 'security', 'norton', 'internet']",set(),['norton system'],"(0,)"
41,1.0,8.0,42.0,This is the fourth version of SystemWorks and the second version of Internet Security that I have used and it has always been a favorite.,fourth version systemwork second version internet secur use alway favorit,"['systemworks internet security', 'versions security', 'systemworks security', 'versions internet', 'systemworks internet', 'internet security', 'versions', 'systemworks', 'security', 'internet']","{'fourth', 'second'}",['second version'],"(3, 3)"
42,1.0,8.0,43.0,"It has saved my system on more than one occasion, and makes disc clean up a snap.",save system occas disc clean snap,['system'],{'clean'},['clean snap'],"(0,)"
43,1.0,8.0,44.0,"The antivirus feature is phenomenal, and is regularly updated.",antivirus featur phenomen regular updat,"['updates', 'feature', 'antivirus']",{'phenomenal'},[],"(0,)"
44,1.0,8.0,45.0,"I think their antivirus software was one of, if not the best, on the",think antivirus softwar not_th best,"['software', 'antivirus']",set(),[],"(0,)"
45,1.0,8.0,46.0,"Well, no more.",not_mor,[],set(),[],"(0,)"
46,1.0,8.0,47.0,"This version of Internet Security 2004, is beyond hope.",version internet secur hope,"['versions security', 'versions internet', 'internet security', 'versions', 'security', 'internet']",set(),[],"(-3,)"
47,1.0,8.0,48.0,"They are a royal pain to install, and don't function properly once finally installed -- if you can install them at all.",royal pain instal not_funct proper onc final instal instal,['installation'],set(),[],"(-3, -2)"
48,1.0,8.0,49.0,The biggest problem is the installation.,biggest problem instal,"['installation problems', 'problems', 'installation']",{'biggest'},['biggest installation'],"(-3,)"
49,1.0,8.0,50.0,"Also if you do manage to get it installed, any problems with LiveUpdate or with System Works will also affect the functionality and/or the process of updating Internet Security.",manag instal ani problem liveupd system work affect function and/or process updat internet secur,"['security system', 'work problems', 'internet security', 'installation problems', 'work', 'updates', 'system', 'security', 'process', 'problems', 'internet', 'installation']",set(),[],"(-2, -1, -1, -1)"
50,1.0,8.0,51.0,"I've had to install and uninstall them four or five times so far, and I've not to get either product working properly.",ve instal uninstal time far ve not_to product work proper,"['work', 'time', 'product', 'installation']",{'uninstall'},['uninstall times'],"(-3,)"
51,1.0,8.0,52.0,Why they brought this to market is beyond me.,whi brought market,[],set(),[],"(0,)"
52,1.0,8.0,53.0,"First, it serious, serious installation problems.",instal problem,"['installation problems', 'problems', 'installation']",set(),[],"(-3,)"
53,1.0,8.0,54.0,"Back in May 2004, when I first reviewed this, it had taken me over 16 hours to install and run.",review taken hour instal run,"['reviews', 'installation', 'hours']",set(),[],"(-3,)"
54,1.0,8.0,55.0,"Since then, I have had one problem after another.",sinc problem anoth,['problems'],set(),[],"(0,)"
55,1.0,8.0,56.0,"To say that it is ""buggy"" would be the world's most profound understatement.",buggi world profound understat,[],set(),[],"(0,)"
56,1.0,8.0,57.0,"Almost from the beginning, LiveUpdate would not function.",begin liveupd not_funct,[],set(),[],"(-2,)"
57,1.0,8.0,58.0,"First, it failed whenever connecting to get updates.",fail whenev connect updat,['updates'],set(),[],"(-2,)"
58,1.0,8.0,59.0,"When I finally got it working, it only worked properly for many a month.",final got work onli work proper mani month,"['work', 'months']",set(),[],"(-2,)"
59,1.0,8.0,60.0,"The next problem was that it didn't recognize all the installed components, so it would not update them, most notably and importantly, virus definitions.",problem not_recogn instal compon not_upd notabl import virus definit,"['problems virus', 'installation problems', 'virus definitions', 'virus', 'problems', 'installation', 'definitions', 'components']",set(),[],"(-2,)"
60,1.0,8.0,61.0,"Without this important feature, both SystemWorks and Internet Security are all but useless.",import featur systemwork internet secur useless,"['systemworks internet security', 'systemworks security', 'systemworks internet', 'internet security', 'systemworks', 'security', 'internet', 'feature']","{'important', 'useless'}",[],"(0,)"
61,1.0,8.0,62.0,"Without updated virus definiations, your PC is also at serious risk!",updat virus defini pc risk,"['virus', 'updates', 'pc']",set(),[],"(0,)"
62,1.0,8.0,63.0,"Once installed, however, some of the functions do work OK (Disk Doctor, One Button Checkup, and WinDoctor).",onc instal howev function work ok disk doctor button checkup windoctor,"['work', 'installation']",{'ok'},['ok button'],"(1,)"
63,1.0,8.0,64.0,"These tasks are faster and easier than in prior versions, and I found the menu to be much more navigable.",task faster easier prior version found menu navig,['versions'],set(),[],"(1, 2)"
64,1.0,8.0,65.0,"But this doesn't make up for it's innumerable other short-comings, the biggest of which is the inability to download any updates due to problems with LiveUpdate.",doe not_mak innumer short come biggest inabl download ani updat problem liveupd,"['updates', 'problems']",set(),[],"(-2,)"
65,1.0,8.0,66.0,The other annoyance with this that you have to remove every single remnant of previous version of Norton SystemWorks before you installs this.,annoy remov everi singl remnant previous version norton systemwork befor instal,"['versions norton', 'versions', 'systemworks', 'norton', 'installation']","{'single', 'previous', 'remnant'}",['previous version'],"(-2,)"
66,1.0,8.0,67.0,"Warning! The Windows ""remove program"" feature does not do a good job of this, and neither does Norton's own removal program.",warn window remov program featur doe not_do good job doe norton remov program,"['program norton', 'windows', 'program', 'norton', 'feature']",{'good'},['good job'],"(-2,)"
67,1.0,8.0,68.0,"A lot of ""fragments"" were left in the Registry, and it the Norton system folders.",lot fragment left registri norton system folder,"['system', 'registry', 'norton', 'lot', 'folder']",set(),['norton system'],"(-2,)"
68,1.0,8.0,69.0,"Their website had a download that helped remove those, although I had to manually remove a good number of files from the ""Programs"" directory.",websit download help remov manual remov good number file program directori,"['website', 'program', 'number', 'help', 'files']",{'good'},['good files'],"(1,)"
69,1.0,8.0,70.0,"If you have an older version of ""Internet Security"" installed, you may also need to remove it as well before proceeding with SystemWorks install.",older version internet secur instal need remov befor proceed systemwork instal,"['systemworks internet security', 'versions security', 'systemworks security', 'versions internet', 'systemworks internet', 'internet security', 'versions', 'systemworks', 'security', 'internet', 'installation']",{'older'},['older security'],"(-3,)"
70,1.0,8.0,71.0,You also need to go in and MANUALLY remove many Symantec files from the REGISTRY.,need manual remov mani symantec file registri,"['symantec', 'registry', 'files']",set(),['symantec files'],"(-2,)"
71,1.0,8.0,72.0,(Intructions for doing so are on Symantecs website.),intruct symantec websit,"['website', 'symantec']",set(),[],"(0,)"
72,1.0,8.0,73.0,"Even this, however, did not solve my problems.",howev not_solv problem,['problems'],set(),[],"(0,)"
73,1.0,8.0,74.0,"As of October, 2004, these products are NOT working and I'm ready to demand a refund from Symantec.",octob product not_work m readi demand refund symantec,"['symantec', 'product']",{'ready'},[],"(-3,)"
74,1.0,8.0,75.0,I just uninstalled SystemWorks and Internet Security for at least the fifth time due to funtionality issues.,uninstal systemwork internet secur fifth time funtion issu,"['systemworks internet security', 'systemworks security', 'systemworks internet', 'internet security', 'time', 'systemworks', 'security', 'internet']",{'fifth'},['fifth time'],"(-3,)"
75,1.0,8.0,76.0,"Once again it won't reinstall, even with online and email assistance from Symantect Technicians.",onc wo not_reinstal onlin email assist symantect technician,['email'],{'online'},['online assistance'],"(-3,)"
76,1.0,8.0,77.0,"The best thing to do with this version, is to leave it on the store shelf. It doesn't work, and will cost you an enormous amount of your time, not to mention your hard earned dollars.",best thing version leav store shelf doe not_work cost enorm time not_to mention hard earn dollar,"['versions', 'time', 'thing', 'costs']","{'best', 'enormous'}","['enormous time', 'best version']","(-3,)"
77,1.0,8.0,78.0,"Personally, I may never buy Symantect products again.",person not_buy symantect product,['product'],set(),[],"(-3,)"
78,1.0,8.0,79.0,And that's a shame.,shame,[],set(),[],"(0,)"
79,1.0,8.0,80.0,They use to be so useful and neceesary.,use use neceesari,[],set(),[],"(0,)"
80,1.0,8.0,81.0,No longer.,not_long,[],set(),[],"(0,)"
81,1.0,8.0,82.0,Avoid this product at all costs.,avoid product cost,"['product', 'costs']",set(),[],"(-3,)"
82,1.0,9.0,83.0,Antagonising,antagonis,[],set(),[],"(0,)"
83,1.0,9.0,84.0,"There are some highs to the 2004 edition, but mostly lows.",high edit low,['edition'],set(),[],"(-1,)"
84,1.0,9.0,85.0,"The program brings more problems than a virus, albeit not as major problems, just not what you expect for 70 bucks.",program bring problem virus albeit not_a major problem not_what expect buck,"['problems virus', 'virus', 'program', 'problems']",{'major'},['major problems'],"(-2, -1)"
85,1.0,10.0,86.0,"I had a question about the pros and cons of turning off the Norton firewall vs. the windows firewall, and waited 45 minutes to speak with a tech support representative because I did not have a ""customer priority ID number.""",question pros con turn norton firewal vs. window firewal wait minut speak tech support repres becaus not_hav custom prioriti d number,"['tech support', 'windows', 'tech', 'support', 'number', 'norton', 'minutes', 'firewall', 'customer']",set(),['norton firewall'],"(-2,)"
86,1.0,10.0,87.0,"Then when I went to Norton's website to obtain a priority ID number per the instructions I had been given, I couldn't find a way to get one.",went norton websit obtain prioriti d number instruct given not_find way,"['way norton', 'website', 'way', 'number', 'norton', 'instructions']",set(),['norton website'],"(-1,)"
87,1.0,10.0,88.0,"So I e-mailed the online tech support with that simple question, and got a reply which was totally unresponsive (it looked as though they didn't actually read the e-mail and just sent back a few boilerplate paragraphs).",e mail onlin tech support simpl question got repli total unrespons look not_actu read e mail sent boilerpl paragraph,"['tech support', 'tech', 'support']","{'unresponsive', 'online', 'simple'}",['simple question'],"(-1,)"
88,1.0,10.0,89.0,"And, when you think about it, it's insulting that Norton requires its customers to jump through these hoops -- anyone who can provide proof of purchase, whether on the phone or online (what if your computer is down?), should have equal priority.",think insult norton requir custom jump hoop anyon provid proof purchas phone onlin comput equal prioriti,"['norton', 'customer', 'computer']",{'equal'},['equal priority'],"(-3,)"
89,1.0,10.0,90.0,"I may not be a computer expert but I am perfectly capable of following detailed instructions, and Norton just makes life way too hard.",not_b comput expert perfect capabl follow detail instruct norton life way hard,"['way norton', 'way', 'norton', 'instructions', 'computer']","{'detailed', 'capable'}",['detailed instructions'],"(0,)"
90,1.0,10.0,91.0,"Plus, when Norton provided online updates, there were so many unexplained categories (about 15 over and above virus definitions)",plus norton provid onlin updat mani unexplain categori abov virus definit,"['virus definitions', 'virus', 'updates', 'norton', 'definitions']","{'online', 'unexplained'}","['unexplained categories', 'online updates']","(0,)"
91,1.0,10.0,92.0,I was totally baffled.,total baffl,[],set(),[],"(0,)"
92,1.0,11.0,93.0,I originally had bought Norton Internet Security for my laptop after the preinstalled Norton Antivirus trial had finished.,origin bought norton internet secur laptop preinstal norton antivirus trial finish,"['norton internet security', 'norton antivirus security', 'antivirus internet security', 'norton antivirus internet', 'norton security', 'internet security', 'norton internet', 'antivirus security', 'norton antivirus', 'antivirus internet', 'security', 'norton', 'laptop', 'internet', 'antivirus']",set(),[],"(0,)"
93,1.0,11.0,94.0,The hardest part was the run around with what software suite to buy.,hardest run softwar suit buy,['software'],set(),[],"(0,)"
94,1.0,11.0,95.0,This package contains BOTH Norton Antivirus and Firewall.,packag contain norton antivirus firewal,"['norton antivirus', 'firewall antivirus', 'package', 'norton', 'firewall', 'antivirus']",set(),['norton firewall'],"(0,)"
95,1.0,11.0,96.0,The only reason I'd buy them separately in the combo package is for two liecenses.,onli reason buy separ combo packag liecens,['package'],set(),[],"(0,)"
96,1.0,11.0,97.0,If you want integrated Antivirus and Firewall this is what I'd suggest.,want integr antivirus firewal suggest,"['firewall antivirus', 'firewall', 'antivirus']",{'integrated'},['integrated firewall'],"(0,)"
97,1.0,11.0,98.0,Norton's memory usage on systems with 512 MB is very low.,norton memori usag system mb veri low,"['system', 'norton', 'memory']",{'low'},['norton systems'],"(2,)"
98,1.0,11.0,99.0,It usually only takes 5-10 MB's of system memory.,usual onli mb system memori,"['system', 'memory']",set(),[],"(0,)"
99,1.0,11.0,100.0,I just got an older 866 Mhz system with 512 PC 133 RAM and it also runs fine on that.,got older mhz system pc ram run fine,"['system', 'pc']","{'older', 'fine'}",['older mhz'],"(2,)"
100,1.0,11.0,101.0,Both the antivirus and firewall are integrated into one piece of software and they update together.,antivirus firewal integr piec softwar updat togeth,"['firewall antivirus', 'updates', 'software', 'firewall', 'antivirus']",set(),[],"(1,)"
101,1.0,11.0,102.0,You won't need to update your firewall and antivirus separately or install two disks.,wo not_ne updat firewal antivirus separ instal disk,"['firewall antivirus', 'updates', 'installation', 'firewall', 'antivirus']",set(),[],"(2,)"
102,1.0,11.0,103.0,The best part of the firewall is the visual backtracking.,best firewal visual backtrack,['firewall'],set(),[],"(3,)"
103,1.0,11.0,104.0,An infected computer tried to launch an attack on mine and I was able to get a map and address of the server.,infect comput tri launch attack abl map address server,['computer'],set(),[],"(0,)"
104,1.0,12.0,105.0,"I had the best intentions when I bought this, I really did.",best intent bought realli,[],set(),[],"(0,)"
105,1.0,12.0,106.0,I followed the instructions to the letter.,follow instruct letter,['instructions'],set(),[],"(0,)"
106,1.0,12.0,107.0,But it caused more headaches than I could imagine.,caus headach imagin,[],set(),[],"(0,)"
107,1.0,12.0,108.0,Stay away from this product!,stay away product,['product'],set(),[],"(-3,)"
108,1.0,12.0,109.0,"I don't know what's happened to Norton, but 2004 is absolute garbage.",not_know happen norton absolut garbag,['norton'],{'absolute'},['norton garbage'],"(-3,)"
109,1.0,12.0,110.0,"Apparently, they can't even fix the bugs that have overrun their own site.",appar not_even fix bug overrun site,['site'],set(),[],"(0,)"
110,1.0,12.0,111.0,The customer support is pathetic.,custom support pathet,"['support', 'customer']",{'pathetic'},[],"(-3,)"
111,1.0,13.0,112.0,I have found too many bugs in Norton Internet Security Professional to recommend it to any one without extreme patience and experience.,found mani bug norton internet secur profession recommend ani extrem patienc experi,"['norton internet security', 'norton security', 'internet security', 'norton internet', 'security', 'norton', 'internet', 'experience']","{'extreme', 'professional'}",[],"(-2,)"
112,1.0,14.0,113.0,"Okay, how can I say this nicely?",okay nice,[],set(),[],"(0,)"
113,1.0,14.0,114.0,This product is absolutely not ready for release.,product absolut not_readi releas,['product'],set(),[],"(-3,)"
114,1.0,14.0,115.0,"It is buggy, slow and basically frustrates the heck out of the user.",buggi slow basic frustrat heck user,['user'],{'slow'},[],"(-3,)"
115,1.0,14.0,116.0,"I am an IT professional and have used Norton for years, but this product is a complete and utter dud.",profession use norton year product complet utter dud,"['norton product', 'product', 'norton']",{'complete'},['complete utter'],"(-3,)"
116,1.0,15.0,117.0,Norton has a name in the market but I think it's only the name.,norton market think onli,['norton'],set(),[],"(0,)"
117,1.0,15.0,118.0,It's a rip off if one buys Norton Internet Security and antivirus.,rip buy norton internet secur antivirus,"['norton internet security', 'norton antivirus security', 'antivirus internet security', 'norton antivirus internet', 'norton security', 'internet security', 'norton internet', 'antivirus security', 'norton antivirus', 'antivirus internet', 'security', 'norton', 'internet', 'antivirus']",set(),['norton antivirus'],"(-2, -2)"
118,1.0,15.0,119.0,The former hogs memory and it takes ages for the computer to start.,hog memori age comput start,"['memory', 'computer']",set(),[],"(0,)"
119,1.0,15.0,120.0,Nothing spectacular is done by internet security or by antivirus software.,noth spectacular internet secur antivirus softwar,"['antivirus internet security', 'security software', 'software internet', 'internet security', 'antivirus security', 'antivirus internet', 'software', 'security', 'internet', 'antivirus']",{'spectacular'},['spectacular software'],"(-2, -2)"
120,1.0,16.0,121.0,Even though I have the parental controls off it constantly starts updating them then freezes my computer.,parent control constant start updat freez comput,"['updates', 'computer']",set(),[],"(-2,)"
121,1.0,16.0,122.0,Had to uninstall it.,uninstal,[],set(),[],"(0,)"
122,1.0,16.0,123.0,"Maybe it's me, but this isn't my program.",mayb not_mi program,['program'],set(),[],"(0,)"
123,1.0,17.0,124.0,I have had Norton Internet Security for 3 yrs and up graded to 2004 versionin August 2004.,norton internet secur yrs grade versionin august,"['norton internet security', 'norton security', 'internet security', 'norton internet', 'security', 'norton', 'internet']",{'versionin'},[],"(0,)"
124,1.0,17.0,125.0,"Now in October,2004, the firewall said I couldn't OK anymore software to use the internet because its full.","october,2004 firewal said not_ok anymor softwar use internet becaus","['software internet', 'firewall internet', 'software', 'internet', 'firewall']",set(),[],"(-3,)"
125,1.0,17.0,126.0,Im at full capacity!!!! I called Symantic and they said they don't know why but I should get Tech's Support at $35/hr to help!! I did call them and was on hold for 55 minutes untill I hung up!,m capac symant said not_know whi tech support $ hr help hold minut hung,"['tech support', 'tech help', 'tech', 'support', 'minutes', 'help']",{'symantic'},[],"(-3, -3)"
126,1.0,17.0,127.0,I am going to buy PC-cillium ASAP.,buy pc cillium asap,['pc'],set(),[],"(0,)"
127,1.0,17.0,128.0,"So, DON'T buy this or upgrade.",buy upgrad,[],set(),[],"(-2, -2)"
128,1.0,18.0,129.0,"If you currently own the 2003 version, and are looking to upgrade to the 2004 version, don't.",current version look upgrad version,['versions'],set(),[],"(-2,)"
129,1.0,18.0,130.0,"There is little meaningful difference between the two versions aside from the tedius activation process, and the product is currently rather buggy and has problems running unless cleanly installed on a formatted drive.",littl meaning differ version asid tedius activ process product current buggi problem run clean instal format drive,"['installation problems', 'versions', 'product', 'process', 'problems', 'installation', 'drive']","{'little', 'formatted', 'meaningful'}","['formatted drive', 'meaningful versions']","(-1, -2)"
130,1.0,18.0,131.0,"If you are new to the market and looking to buy a symantec software product, save yourself some money and buy the 2003 version.",new market look buy symantec softwar product save money buy version,"['versions', 'symantec', 'software', 'product', 'money']",{'new'},['symantec product'],"(-2,)"
131,1.0,18.0,132.0,"It included popup and ad blockers, referrer blockers, firewall,  intrusion detection, and all the same things that the 2004 version includes that are really needed.",includ popup ad blocker referr blocker firewal     intrus detect thing version includ realli need,"['versions', 'thing', 'popup', 'firewall']",set(),[],"(0,)"
132,1.0,19.0,133.0,"This came PRELOADED on our new, 2.8Mz Pentium 4 256RAM computer.",came preload new 2.8mz pentium 256ram comput,['computer'],set(),[],"(0,)"
133,1.0,19.0,134.0,"From day one, we've had hangups, crashes, glitches, continual reboots, LONG shutdowns due to ""ccApp.exe"" program running which is a Norton program.",day ve hangup crash glitch continu reboot long shutdown ccapp.ex program run norton program,"['program norton', 'program', 'norton']","{'continual', 'long'}",['long shutdowns'],"(-3,)"
134,1.0,19.0,135.0,Long reboots due to Norton taking FOREVER  to boot.,long reboot norton forev     boot,['norton'],{'long'},[],"(-3,)"
135,1.0,19.0,136.0,"We constantly got ""Windows Virtual Memory Low"" error messages popping up follwed by ridiculous slowdowns and/or crashes.",constant got window virtual memori low error messag pop follw ridicul slowdown and/or crash,"['windows', 'memory', 'error']","{'low', 'follwed', 'virtual', 'ridiculous'}",[],"(-3,)"
136,1.0,19.0,137.0,I don't have one good thing to say.,not_hav good thing,['thing'],"{'not_have', 'good'}",[],"(0,)"
137,1.0,19.0,138.0,I agree with the other reviewer that it doesn't even deserve 1 star.,agre review doe not_even deserv star,"['stars', 'reviews']",set(),[],"(0,)"
138,1.0,19.0,139.0,Norton online support does not even acknowledge this problem nor does the computer company that preloaded it on our new computer.,norton onlin support doe not_even acknowledg problem doe comput compani preload new comput,"['norton problems', 'problems computer', 'support', 'problems', 'norton', 'computer', 'company']","{'online', 'new'}",['online support'],"(-2,)"
139,1.0,19.0,140.0,It's a well-known company that I expected more from and spent 2 hours with tech support running all kinds of tests on the computer which of course came back reporting no trouble with the computer.,known compani expect spent hour tech support run kind test comput cours came report not_troubl comput,"['tech support', 'tech', 'support', 'hours', 'computer', 'company']",set(),[],"(0,)"
140,1.0,19.0,141.0,The tests were right.,test right,[],set(),[],"(0,)"
141,1.0,19.0,142.0,It wasn't the computer - it was Norton Internet Security 2004 which is the culprit!!,not_th comput norton internet secur culprit,"['norton internet security', 'norton security', 'internet security', 'norton internet', 'security', 'norton', 'internet', 'computer']",set(),[],"(0,)"
142,1.0,19.0,143.0,Norton support is completely pathetic.,norton support complet pathet,"['support', 'norton']",{'pathetic'},['pathetic support'],"(-3,)"
143,1.0,19.0,144.0,"We were so fed up that we uninstalled ALL of Norton Internet/AV 2004 and were going to try McAffee, but a techie friend recommended trying Norton SystemWorks 2005 first.",fed uninstal norton internet av tri mcaffe techi friend recommend tri norton systemwork,"['systemworks internet', 'norton internet', 'systemworks', 'norton', 'internet']",set(),[],"(0,)"
144,1.0,19.0,145.0,"We were leary to say the least, but decided to give Norton the benefit of the doubt.",leari decid norton benefit doubt,['norton'],set(),[],"(0,)"
